user,trip,overspeed,accel,decel,stop,start,dist,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599028105912 ,1124,93,33,9,33,69933.86,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599121195259 ,297,51,13,7,15,32126.102,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599200398657 ,236,27,11,1,12,23315.88,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599208578071 ,1393,82,23,8,27,50224.19,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599282463297 ,1000,110,34,10,29,75155.09,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599457487303 ,1102,120,42,11,61,80963.84,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599545194572 ,1254,92,29,7,30,48315.016,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599617572170 ,1184,47,14,0,11,62047.38,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599630326635 ,745,142,31,9,52,84711.42,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599718353338 ,312,148,50,17,44,71247.055,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599745481328 ,1021,26,17,3,8,14983.076,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599804065520 ,1334,44,10,6,13,29256.549,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599811870319 ,1483,61,10,2,14,27027.244,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1599886365192 ,1336,76,26,9,32,72652.58,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600093050114 ,1927,12,9,0,6,34105.98,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600150514007 ,384,139,48,24,67,121121.945,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600236773709 ,329,119,36,6,29,69328.484,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600322865442 ,136,38,10,4,10,26920.725,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600327260569 ,185,64,14,4,24,39082.734,,,,,,
