"User","Trip","Speeding"
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599910922709,220
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598164412258,2968
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598352369658,130
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598910982797,85
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599964246167,271
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600856006204,132
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600638770325,106
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598867209978,133
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600293323391,88
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599471888942,81
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599774780192,40
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599428913597,74
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598954037975,116
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1602021670209,93
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599688184731,130
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600941920501,141
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599381413518,567
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598997207035,78
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1597999980969,1470
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598078157083,1235
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600150514007,2082
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1597991165013,330
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598881881650,475
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598422683946,1073
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598336014428,1773
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599028105912,1307
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601966163168,2127
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600322865442,495
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600852762803,313
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598595263348,665
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599282463297,1130
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598941172096,652
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600093050114,884
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599208578071,665
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600754747899,1209
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600236773709,1198
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601116061128,181
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601350829204,450
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599617572170,1033
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601359544812,1124
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599121195259,297
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599811870319,236
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601096674226,1393
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601014574904,1000
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600927416705,1102
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599718353338,1254
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599886365192,1184
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598251543006,745
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598072810669,312
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598509005456,1021
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1597904203124,1334
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601883869548,1483
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599457487303,1336
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598855110716,1927
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601913611775,384
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598060182313,329
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598606633300,136
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601332068182,185
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600840863411,1247
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601445036810,381
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600409605890,810
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598261255675,821
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599745481328,354
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598950923054,507
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598684586794,742
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601450941621,2978
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1597818724757,1355
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599545194572,967
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600327260569,488
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600493124504,1729
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1600669796742,1246
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599804065520,618
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599200398657,233
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1601275358965,1393
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1599630326635,1540
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598235941143,1845
"3Jo9e4CvXBSqdHCpnnvSYJgiE5r2",1598677782263,677
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601014113275,290
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1598512809962,97
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599890632321,404
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601625368079,173
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1598354201421,670
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601034670230,500
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599965858723,853
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599784831642,727
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599698340305,722
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600484640156,748
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599737186011,447
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600420175540,177
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601632250398,1720
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599793601304,528
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600052338807,668
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1598345170544,555
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601616034381,1188
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1597910750234,139
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601899858232,39
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600996979576,509
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600334182333,321
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1598324015050,444
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601022690123,600
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601009709964,141
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600262707054,157
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1598426872152,244
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600929530205,92
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601550401368,595
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599717322012,103
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1601001518893,315
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1597977950883,737
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1600414413515,180
"3l5xQKIgPlY0N3pvkMUZxafocpD2",1599622274422,282
